 

stn;time;tre200s0;rre150g0;uor200s0;ure200s0;fu3010z0
GRE;202204222330;5.5;0.0;89.7;89.7;0.0
GRE;202204222340;6.0;0.0;91.6;91.6;1.8
GRE;202204222350;5.7;0.0;91.2;91.2;0.4
GRE;202204230000;5.2;0.0;90.5;90.5;0.0
GRE;202204230010;5.0;0.0;93.2;93.2;2.2
GRE;202204230020;5.8;0.0;94.4;94.4;3.2
GRE;202204230030;5.8;0.0;92.6;92.6;1.8
GRE;202204230040;5.6;0.0;91.9;91.9;2.9
GRE;202204230050;6.2;0.0;91.5;91.5;1.1
GRE;202204230100;5.9;0.0;92.2;92.2;0.4
GRE;202204230110;5.8;0.0;94.8;94.8;1.4
GRE;202204230120;6.2;0.0;95.7;95.7;4.0
GRE;202204230130;6.1;0.0;97.1;97.1;4.0
GRE;202204230140;6.6;0.0;97.1;97.1;3.6
GRE;202204230150;6.9;0.0;95.1;95.1;6.5
GRE;202204230200;7.2;0.0;92.6;92.6;6.1
GRE;202204230210;7.0;0.0;93.3;93.3;9.7
GRE;202204230220;7.3;0.0;92.9;92.9;5.0
GRE;202204230230;7.2;0.0;92.5;92.5;7.2
GRE;202204230240;7.4;0.0;91.9;91.9;7.9
GRE;202204230250;7.7;0.0;89.4;89.4;6.1
GRE;202204230300;7.6;0.0;89.8;89.8;5.8
GRE;202204230310;7.3;0.0;92.1;92.1;5.4
GRE;202204230320;7.1;0.0;94.2;94.2;5.4
GRE;202204230330;7.4;0.0;94.0;94.0;4.0
GRE;202204230340;7.5;0.0;93.5;93.5;4.0
GRE;202204230350;8.0;0.0;90.9;90.9;1.4
GRE;202204230400;8.0;0.0;90.2;90.2;3.6
GRE;202204230410;8.0;0.0;90.8;90.8;5.0
GRE;202204230420;8.1;0.0;90.4;90.4;5.0
GRE;202204230430;8.0;0.0;92.1;92.1;5.8
GRE;202204230440;8.2;0.1;93.0;93.0;3.6
GRE;202204230450;8.5;0.1;92.4;92.4;4.3
GRE;202204230500;8.4;0.2;92.5;92.5;5.0
GRE;202204230510;8.4;0.3;92.6;92.6;3.2
GRE;202204230520;8.1;0.3;94.8;94.8;4.3
GRE;202204230530;8.1;0.3;96.4;96.4;7.2
GRE;202204230540;8.1;0.2;96.5;96.5;8.3
GRE;202204230550;8.1;0.2;96.5;96.5;8.6
GRE;202204230600;8.4;0.1;96.1;96.1;6.8
GRE;202204230610;8.5;0.0;94.4;94.4;5.8
GRE;202204230620;8.8;0.0;93.9;93.9;5.8
GRE;202204230630;9.2;0.0;90.4;90.4;4.7
GRE;202204230640;9.5;0.0;87.0;87.0;2.9
GRE;202204230650;9.9;0.0;85.8;85.8;2.2
GRE;202204230700;10.1;0.0;84.5;84.5;2.2
GRE;202204230710;10.4;0.0;80.5;80.5;1.8
GRE;202204230720;10.4;0.0;76.8;76.8;2.2
GRE;202204230730;10.7;0.0;79.7;79.7;7.6
GRE;202204230740;10.9;0.0;80.6;80.6;9.0
GRE;202204230750;11.0;0.0;78.1;78.1;7.2
GRE;202204230800;11.1;0.0;75.9;75.9;5.0
GRE;202204230810;11.1;0.0;77.2;77.2;5.4
GRE;202204230820;11.2;0.0;81.1;81.1;5.0
GRE;202204230830;11.1;0.0;79.8;79.8;6.8
GRE;202204230840;11.1;0.0;80.4;80.4;7.6
GRE;202204230850;11.1;0.0;82.6;82.6;8.3
GRE;202204230900;11.0;0.0;84.1;84.1;5.8
GRE;202204230910;10.9;0.0;85.5;85.5;10.1
GRE;202204230920;10.3;0.0;88.9;88.9;19.1
GRE;202204230930;10.1;1.0;90.3;90.3;13.3
GRE;202204230940;10.8;2.0;93.3;93.3;27.7
GRE;202204230950;12.1;2.0;87.3;87.3;21.6
GRE;202204231000;12.8;2.0;83.0;83.0;17.6
GRE;202204231010;13.2;2.0;81.5;81.5;10.8
GRE;202204231020;13.3;2.0;77.7;77.7;7.9
GRE;202204231030;13.8;1.0;74.7;74.7;5.0
GRE;202204231040;13.7;0.0;74.8;74.8;3.6
GRE;202204231050;13.9;0.0;72.6;72.6;5.0
GRE;202204231100;14.5;0.0;72.1;72.1;11.2
GRE;202204231110;14.6;0.0;69.8;69.8;7.6
GRE;202204231120;14.4;0.0;66.7;66.7;9.4
GRE;202204231130;14.9;0.0;67.8;67.8;10.4
GRE;202204231140;15.1;0.0;68.0;68.0;13.0
GRE;202204231150;14.6;0.0;68.5;68.5;9.0
GRE;202204231200;14.5;0.0;68.7;68.7;13.0
